Entry,Catalytic activity
E7FL15,"CATALYTIC ACTIVITY: Reaction=7'-O-demethylcephaeline + S-adenosyl-L-methionine = cephaeline + S-adenosyl-L-homocysteine + H(+); Xref=Rhea:RHEA:80555, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:231587, ChEBI:CHEBI:231589; EC=2.1.1.395; Evidence={ECO:0000269|PubMed:21228475}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:80556; Evidence={ECO:0000269|PubMed:21228475}; CATALYTIC ACTIVITY: Reaction=cephaeline + S-adenosyl-L-methionine = emetine + S-adenosyl-L-homocysteine + H(+); Xref=Rhea:RHEA:80659, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:149548, ChEBI:CHEBI:231587; EC=2.1.1.396; Evidence={ECO:0000269|PubMed:21228475}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:80660; Evidence={ECO:0000269|PubMed:21228475};"
E9Q368,"CATALYTIC ACTIVITY: Reaction=guanosine(18) in tRNA + S-adenosyl-L-methionine = 2'-O-methylguanosine(18) in tRNA + S-adenosyl-L-homocysteine + H(+); Xref=Rhea:RHEA:20077, Rhea:RHEA-COMP:10190, Rhea:RHEA-COMP:10192, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:74269, ChEBI:CHEBI:74445; EC=2.1.1.34; Evidence={ECO:0000250|UniProtKB:Q13395}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:20078; Evidence={ECO:0000250|UniProtKB:Q13395};"
E9Q3D4,"CATALYTIC ACTIVITY: Reaction=L-fucose + NAD(+) = L-fucono-1,5-lactone + NADH + H(+); Xref=Rhea:RHEA:81515, ChEBI:CHEBI:2181, ChEBI:CHEBI:15378, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945, ChEBI:CHEBI:81457; EC=1.1.1.122; Evidence={ECO:0000250|UniProtKB:Q9BPX1}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:81516; Evidence={ECO:0000250|UniProtKB:Q9BPX1}; CATALYTIC ACTIVITY: Reaction=D-arabinose + NAD(+) = D-arabinono-1,5-lactone + NADH + H(+); Xref=Rhea:RHEA:81519, ChEBI:CHEBI:15378, ChEBI:CHEBI:46994, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945, ChEBI:CHEBI:194242; EC=1.1.1.122; Evidence={ECO:0000250|UniProtKB:Q9BPX1}; CATALYTIC ACTIVITY: Reaction=L-galactose + NAD(+) = L-galactono-1,5-lactone + NADH + H(+); Xref=Rhea:RHEA:81523, ChEBI:CHEBI:15378, ChEBI:CHEBI:37619, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945, ChEBI:CHEBI:182410; EC=1.1.1.122; Evidence={ECO:0000250|UniProtKB:Q9BPX1};"
F0LJX3,"CATALYTIC ACTIVITY: Reaction=ATP + H2O = ADP + phosphate + H(+); Xref=Rhea:RHEA:13065, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:456216; Evidence={ECO:0000305|PubMed:34206878};"
F8AME3,"CATALYTIC ACTIVITY: Reaction=GDGT-0 + AH2 + 2 S-adenosyl-L-methionine = GMGT-0 + 2 5'-deoxyadenosine + 2 L-methionine + A + 2 H(+); Xref=Rhea:RHEA:80803, ChEBI:CHEBI:13193, ChEBI:CHEBI:15378, ChEBI:CHEBI:17319, ChEBI:CHEBI:17499, ChEBI:CHEBI:57844, ChEBI:CHEBI:59789, ChEBI:CHEBI:200628, ChEBI:CHEBI:231648; Evidence={ECO:0000269|PubMed:38898040}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:80804; Evidence={ECO:0000269|PubMed:38898040};"
G0RBE3,"CATALYTIC ACTIVITY: Reaction=L-seryl-[protein] + ATP = O-phospho-L-seryl-[protein] + ADP + H(+); Xref=Rhea:RHEA:17989, Rhea:RHEA-COMP:9863, Rhea:RHEA-COMP:11604, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616, ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.11.1; Evidence={ECO:0000250|UniProtKB:P32361}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:17990; Evidence={ECO:0000250|UniProtKB:P32361}; CATALYTIC ACTIVITY: Reaction=L-threonyl-[protein] + ATP = O-phospho-L-threonyl-[protein] + ADP + H(+); Xref=Rhea:RHEA:46608, Rhea:RHEA-COMP:11060, Rhea:RHEA-COMP:11605, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:30616, ChEBI:CHEBI:61977, ChEBI:CHEBI:456216; EC=2.7.11.1; Evidence={ECO:0000250|UniProtKB:P32361}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:46609; Evidence={ECO:0000250|UniProtKB:P32361};"
G0RT93,"CATALYTIC ACTIVITY: Reaction=O-phospho-L-seryl-[protein] + H2O = L-seryl-[protein] + phosphate; Xref=Rhea:RHEA:20629, Rhea:RHEA-COMP:9863, Rhea:RHEA-COMP:11604, ChEBI:CHEBI:15377, ChEBI:CHEBI:29999, ChEBI:CHEBI:43474, ChEBI:CHEBI:83421; EC=3.1.3.16; Evidence={ECO:0000255|PROSITE-ProRule:PRU01082}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:20630; Evidence={ECO:0000305}; CATALYTIC ACTIVITY: Reaction=O-phospho-L-threonyl-[protein] + H2O = L-threonyl-[protein] + phosphate; Xref=Rhea:RHEA:47004, Rhea:RHEA-COMP:11060, Rhea:RHEA-COMP:11605, ChEBI:CHEBI:15377, ChEBI:CHEBI:30013, ChEBI:CHEBI:43474, ChEBI:CHEBI:61977; EC=3.1.3.16; Evidence={ECO:0000250|UniProtKB:P39966}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:47005; Evidence={ECO:0000250|UniProtKB:P39966};"
G0S1P8,"CATALYTIC ACTIVITY: Reaction=a hydroperoxide + [thioredoxin]-dithiol = an alcohol + [thioredoxin]-disulfide + H2O; Xref=Rhea:RHEA:62620, Rhea:RHEA-COMP:10698, Rhea:RHEA-COMP:10700, ChEBI:CHEBI:15377, ChEBI:CHEBI:29950, ChEBI:CHEBI:30879, ChEBI:CHEBI:35924, ChEBI:CHEBI:50058; EC=1.11.1.24; Evidence={ECO:0000250|UniProtKB:P38013};"
G1X456,"CATALYTIC ACTIVITY: Reaction=L-seryl-[protein] + ATP = O-phospho-L-seryl-[protein] + ADP + H(+); Xref=Rhea:RHEA:17989, Rhea:RHEA-COMP:9863, Rhea:RHEA-COMP:11604, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616, ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.11.11; Evidence={ECO:0000250|UniProtKB:P17612}; CATALYTIC ACTIVITY: Reaction=L-threonyl-[protein] + ATP = O-phospho-L-threonyl-[protein] + ADP + H(+); Xref=Rhea:RHEA:46608, Rhea:RHEA-COMP:11060, Rhea:RHEA-COMP:11605, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:30616, ChEBI:CHEBI:61977, ChEBI:CHEBI:456216; EC=2.7.11.11; Evidence={ECO:0000250|UniProtKB:P17612};"
G1XJZ4,"CATALYTIC ACTIVITY: Reaction=L-seryl-[protein] + ATP = O-phospho-L-seryl-[protein] + ADP + H(+); Xref=Rhea:RHEA:17989, Rhea:RHEA-COMP:9863, Rhea:RHEA-COMP:11604, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616, ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.11.24; Evidence={ECO:0000250|UniProtKB:P32485}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:17990; Evidence={ECO:0000250|UniProtKB:P32485}; CATALYTIC ACTIVITY: Reaction=L-threonyl-[protein] + ATP = O-phospho-L-threonyl-[protein] + ADP + H(+); Xref=Rhea:RHEA:46608, Rhea:RHEA-COMP:11060, Rhea:RHEA-COMP:11605, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:30616, ChEBI:CHEBI:61977, ChEBI:CHEBI:456216; EC=2.7.11.24; Evidence={ECO:0000250|UniProtKB:P32485}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:46609; Evidence={ECO:0000250|UniProtKB:P32485};"
G2X0L1,CATALYTIC ACTIVITY: Reaction=Endohydrolysis of (1->4)-beta-D-xylosidic linkages in xylans.; EC=3.2.1.8; Evidence={ECO:0000255|PROSITE-ProRule:PRU01097};
G2X4G1,CATALYTIC ACTIVITY: Reaction=Endohydrolysis of (1->4)-beta-D-xylosidic linkages in xylans.; EC=3.2.1.8; Evidence={ECO:0000255|PROSITE-ProRule:PRU01097};
G2X5X8,CATALYTIC ACTIVITY: Reaction=Endohydrolysis of (1->4)-beta-D-xylosidic linkages in xylans.; EC=3.2.1.8; Evidence={ECO:0000255|PROSITE-ProRule:PRU01097};
G2X8M4,CATALYTIC ACTIVITY: Reaction=Endohydrolysis of (1->4)-beta-D-xylosidic linkages in xylans.; EC=3.2.1.8; Evidence={ECO:0000255|PROSITE-ProRule:PRU01097};
G4MSY9,"CATALYTIC ACTIVITY: Reaction=an adenosine in mRNA + S-adenosyl-L-methionine = an N(6)-methyladenosine in mRNA + S-adenosyl-L-homocysteine + H(+); Xref=Rhea:RHEA:55584, Rhea:RHEA-COMP:12414, Rhea:RHEA-COMP:12417, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:74411, ChEBI:CHEBI:74449; EC=2.1.1.348; Evidence={ECO:0000269|PubMed:30535195, ECO:0000269|PubMed:35338654}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:55585; Evidence={ECO:0000269|PubMed:30535195, ECO:0000269|PubMed:35338654};"
G4MZ21,"CATALYTIC ACTIVITY: Reaction=an N(6)-methyladenosine in mRNA + 2-oxoglutarate + O2 = an adenosine in mRNA + formaldehyde + succinate + CO2; Xref=Rhea:RHEA:49520, Rhea:RHEA-COMP:12414, Rhea:RHEA-COMP:12417, ChEBI:CHEBI:15379, ChEBI:CHEBI:16526, ChEBI:CHEBI:16810, ChEBI:CHEBI:16842, ChEBI:CHEBI:30031, ChEBI:CHEBI:74411, ChEBI:CHEBI:74449; EC=1.14.11.53; Evidence={ECO:0000250|UniProtKB:A0A9P4XUZ4}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:49521; Evidence={ECO:0000250|UniProtKB:A0A9P4XUZ4};"
G4N954,"CATALYTIC ACTIVITY: Reaction=(3S)-3-hydroxy-3-methylglutaryl-CoA = 3-methyl-(2E)-glutaconyl-CoA + H2O; Xref=Rhea:RHEA:21536, ChEBI:CHEBI:15377, ChEBI:CHEBI:43074, ChEBI:CHEBI:57346; EC=4.2.1.18; Evidence={ECO:0000305|PubMed:32431008};"
G4NCP4,"CATALYTIC ACTIVITY: Reaction=a (3E,5Z)-dienoyl-CoA = a (2E,4E)-(5,6-saturated)-dienoyl-CoA; Xref=Rhea:RHEA:45240, ChEBI:CHEBI:85110, ChEBI:CHEBI:85111; EC=5.3.3.21; Evidence={ECO:0000250|UniProtKB:Q08558}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:45241; Evidence={ECO:0000250|UniProtKB:Q08558};"
G7IFI7,"CATALYTIC ACTIVITY: Reaction=1-(5-phospho-beta-D-ribosyl)-5-[(5-phospho-beta-D-ribosylamino)methylideneamino]imidazole-4-carboxamide = 5-[(5-phospho-1-deoxy-D-ribulos-1-ylimino)methylamino]-1-(5-phospho-beta-D-ribosyl)imidazole-4-carboxamide; Xref=Rhea:RHEA:15469, ChEBI:CHEBI:58435, ChEBI:CHEBI:58525; EC=5.3.1.16; Evidence={ECO:0000269|PubMed:39186852}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:15470; Evidence={ECO:0000269|PubMed:39186852};"
G7LCC3,CATALYTIC ACTIVITY: Reaction=ATP + protein L-histidine = ADP + protein N-phospho-L-histidine.; EC=2.7.13.3; Evidence={ECO:0000250|UniProtKB:Q9C5U0};
I0AIT9,"CATALYTIC ACTIVITY: Reaction=a D-glucoside + [(1->2)-beta-D-glucosyl](n) = a beta-D-glucosyl-(1->2)-D-glucoside + [(1->2)-beta-D-glucosyl](n-1); Xref=Rhea:RHEA:78691, Rhea:RHEA-COMP:11881, Rhea:RHEA-COMP:11882, ChEBI:CHEBI:27517, ChEBI:CHEBI:35436, ChEBI:CHEBI:229541; EC=2.4.1.391; Evidence={ECO:0000269|PubMed:35065074};"
I6XA42,"CATALYTIC ACTIVITY: Reaction=glycyl-tRNA(Gly) + acetyl-CoA = N-acetylglycyl-tRNA(Gly) + CoA + H(+); Xref=Rhea:RHEA:81867, Rhea:RHEA-COMP:9683, Rhea:RHEA-COMP:19766, ChEBI:CHEBI:15378, ChEBI:CHEBI:57287, ChEBI:CHEBI:57288, ChEBI:CHEBI:78522, ChEBI:CHEBI:232036; Evidence={ECO:0000269|PubMed:35638832};"
J9UD11,"CATALYTIC ACTIVITY: Reaction=adenosine(in) = adenosine(out); Xref=Rhea:RHEA:75343, ChEBI:CHEBI:16335; Evidence={ECO:0000269|PubMed:24120444};"
J9VI85,"CATALYTIC ACTIVITY: Reaction=O-phospho-L-homoserine + H2O = L-threonine + phosphate; Xref=Rhea:RHEA:10840, ChEBI:CHEBI:15377, ChEBI:CHEBI:43474, ChEBI:CHEBI:57590, ChEBI:CHEBI:57926; EC=4.2.3.1; Evidence={ECO:0000250|UniProtKB:P16120}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:10841; Evidence={ECO:0000250|UniProtKB:P16120};"
J9VIY8,"CATALYTIC ACTIVITY: Reaction=L-homoserine + acetyl-CoA = O-acetyl-L-homoserine + CoA; Xref=Rhea:RHEA:13701, ChEBI:CHEBI:57287, ChEBI:CHEBI:57288, ChEBI:CHEBI:57476, ChEBI:CHEBI:57716; EC=2.3.1.31; Evidence={ECO:0000269|PubMed:17353245}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:13702; Evidence={ECO:0000269|PubMed:17353245};"
J9VQZ9,"CATALYTIC ACTIVITY: Reaction=ATP + H2O = ADP + phosphate + H(+); Xref=Rhea:RHEA:13065, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:456216; Evidence={ECO:0000250|UniProtKB:Q5KIM6};"
J9VS37,"CATALYTIC ACTIVITY: Reaction=L-aspartate + ATP = 4-phospho-L-aspartate + ADP; Xref=Rhea:RHEA:23776, ChEBI:CHEBI:29991, ChEBI:CHEBI:30616, ChEBI:CHEBI:57535, ChEBI:CHEBI:456216; EC=2.7.2.4; Evidence={ECO:0000250|UniProtKB:P10869}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:23777; Evidence={ECO:0000250|UniProtKB:P10869};"
J9VU26,"CATALYTIC ACTIVITY: Reaction=L-homoserine + ATP = O-phospho-L-homoserine + ADP + H(+); Xref=Rhea:RHEA:13985, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:57476, ChEBI:CHEBI:57590, ChEBI:CHEBI:456216; EC=2.7.1.39; Evidence={ECO:0000250|UniProtKB:P17423}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:13986; Evidence={ECO:0000250|UniProtKB:P17423};"
K9GHZ3,CATALYTIC ACTIVITY: Reaction=Endohydrolysis of (1->4)-beta-D-xylosidic linkages in xylans.; EC=3.2.1.8; Evidence={ECO:0000255|PROSITE-ProRule:PRU01097};
M4MEY9,CATALYTIC ACTIVITY: Reaction=Endohydrolysis of (1->4)-beta-D-xylosidic linkages in xylans.; EC=3.2.1.8; Evidence={ECO:0000269|PubMed:23306124};
M4MGK7,CATALYTIC ACTIVITY: Reaction=Endohydrolysis of (1->4)-beta-D-xylosidic linkages in xylans.; EC=3.2.1.8; Evidence={ECO:0000269|PubMed:23306124};
M4MLB5,CATALYTIC ACTIVITY: Reaction=Endohydrolysis of (1->4)-beta-D-xylosidic linkages in xylans.; EC=3.2.1.8; Evidence={ECO:0000269|PubMed:23306124};
O24769,"CATALYTIC ACTIVITY: Reaction=4'-phosphooxetanocin A + H2O = oxetanocin A + phosphate; Xref=Rhea:RHEA:81367, ChEBI:CHEBI:15377, ChEBI:CHEBI:43474, ChEBI:CHEBI:85720, ChEBI:CHEBI:86012; EC=3.1.3.112; Evidence={ECO:0000269|PubMed:27849620, ECO:0000269|PubMed:28346939}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:81368; Evidence={ECO:0000269|PubMed:27849620, ECO:0000269|PubMed:28346939};"
O24770,"CATALYTIC ACTIVITY: Reaction=dAMP + S-adenosyl-L-methionine = 4'-phospho-dehydrooxetanocin + 5'-deoxyadenosine + L-methionine + H(+); Xref=Rhea:RHEA:81407, ChEBI:CHEBI:15378, ChEBI:CHEBI:17319, ChEBI:CHEBI:57844, ChEBI:CHEBI:58245, ChEBI:CHEBI:59789, ChEBI:CHEBI:231877; EC=5.3.99.13; Evidence={ECO:0000269|PubMed:28346939, ECO:0000269|PubMed:33560833}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:81408; Evidence={ECO:0000269|PubMed:28346939, ECO:0000269|PubMed:33560833}; CATALYTIC ACTIVITY: Reaction=AH2 + 2 S-adenosyl-L-methionine = 2 5'-deoxyadenosin-5'-yl radical + 2 L-methionine + A + 2 H(+); Xref=Rhea:RHEA:81411, ChEBI:CHEBI:13193, ChEBI:CHEBI:15378, ChEBI:CHEBI:17499, ChEBI:CHEBI:57844, ChEBI:CHEBI:59789, ChEBI:CHEBI:231878; Evidence={ECO:0000269|PubMed:28346939, ECO:0000269|PubMed:33560833}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:81412; Evidence={ECO:0000269|PubMed:28346939, ECO:0000269|PubMed:33560833}; CATALYTIC ACTIVITY: Reaction=2 5'-deoxyadenosin-5'-yl radical + 2 dAMP + A = 2 4'-phospho-dehydrooxetanocin + 2 5'-deoxyadenosine + AH2; Xref=Rhea:RHEA:81415, ChEBI:CHEBI:13193, ChEBI:CHEBI:17319, ChEBI:CHEBI:17499, ChEBI:CHEBI:58245, ChEBI:CHEBI:231877, ChEBI:CHEBI:231878; Evidence={ECO:0000269|PubMed:28346939, ECO:0000269|PubMed:33560833}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:81416; Evidence={ECO:0000269|PubMed:28346939, ECO:0000269|PubMed:33560833};"
O51799,"CATALYTIC ACTIVITY: Reaction=4-methylmuconolactone = 3-methylmuconolactone; Xref=Rhea:RHEA:19237, ChEBI:CHEBI:57883, ChEBI:CHEBI:57888; EC=5.4.99.14; Evidence={ECO:0000269|PubMed:2241929, ECO:0000269|PubMed:9461415}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:19238; Evidence={ECO:0000269|PubMed:2241929, ECO:0000269|PubMed:9461415};"
O76269,"CATALYTIC ACTIVITY: Reaction=adenosine(in) + H(+)(in) = adenosine(out) + H(+)(out); Xref=Rhea:RHEA:29987, ChEBI:CHEBI:15378, ChEBI:CHEBI:16335; Evidence={ECO:0000269|PubMed:12835315, ECO:0000269|PubMed:9707568}; CATALYTIC ACTIVITY: Reaction=uridine(in) + H(+)(in) = uridine(out) + H(+)(out); Xref=Rhea:RHEA:29951, ChEBI:CHEBI:15378, ChEBI:CHEBI:16704; Evidence={ECO:0000269|PubMed:12835315, ECO:0000269|PubMed:9707568};"
O76343,"CATALYTIC ACTIVITY: Reaction=adenosine(in) + H(+)(in) = adenosine(out) + H(+)(out); Xref=Rhea:RHEA:29987, ChEBI:CHEBI:15378, ChEBI:CHEBI:16335; Evidence={ECO:0000269|PubMed:12835315, ECO:0000269|PubMed:9707568}; CATALYTIC ACTIVITY: Reaction=uridine(in) + H(+)(in) = uridine(out) + H(+)(out); Xref=Rhea:RHEA:29951, ChEBI:CHEBI:15378, ChEBI:CHEBI:16704; Evidence={ECO:0000269|PubMed:12835315, ECO:0000269|PubMed:9707568};"
P0DXG6,"CATALYTIC ACTIVITY: Reaction=4-nitrobenzoate + 2 NADPH + 2 H(+) = 4-hydroxylaminobenzoate + 2 NADP(+) + H2O; Xref=Rhea:RHEA:80195, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:142863, ChEBI:CHEBI:231457; Evidence={ECO:0000269|PubMed:34554625}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:80196; Evidence={ECO:0000269|PubMed:34554625};"
P0DXG7,"CATALYTIC ACTIVITY: Reaction=4-hydroxylaminobenzoate + H2O + H(+) = 3,4-dihydroxybenzoate + NH4(+); Xref=Rhea:RHEA:80203, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:28938, ChEBI:CHEBI:36241, ChEBI:CHEBI:231457; Evidence={ECO:0000269|PubMed:34554625}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:80204; Evidence={ECO:0000269|PubMed:34554625};"
P0DXG8,"CATALYTIC ACTIVITY: Reaction=daunorubicin(in) + ATP + H2O = daunorubicin(out) + ADP + phosphate + H(+); Xref=Rhea:RHEA:33147, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:64677, ChEBI:CHEBI:456216; EC=7.6.2.2; Evidence={ECO:0000305|PubMed:39375957}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:33148; Evidence={ECO:0000305|PubMed:39375957};"
P0DXJ0,"CATALYTIC ACTIVITY: Reaction=L-seryl-[protein] + ATP = O-phospho-L-seryl-[protein] + ADP + H(+); Xref=Rhea:RHEA:17989, Rhea:RHEA-COMP:9863, Rhea:RHEA-COMP:11604, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616, ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.11.1; Evidence={ECO:0000255|PROSITE-ProRule:PRU10027}; CATALYTIC ACTIVITY: Reaction=L-threonyl-[protein] + ATP = O-phospho-L-threonyl-[protein] + ADP + H(+); Xref=Rhea:RHEA:46608, Rhea:RHEA-COMP:11060, Rhea:RHEA-COMP:11605, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:30616, ChEBI:CHEBI:61977, ChEBI:CHEBI:456216; EC=2.7.11.1; Evidence={ECO:0000255|PROSITE-ProRule:PRU10027};"
P0DXJ1,"CATALYTIC ACTIVITY: Reaction=(19E)-geissoschizine + NADP(+) = 4,21-dehydrogeissoschizine + NADPH; Xref=Rhea:RHEA:11376, ChEBI:CHEBI:17037, ChEBI:CHEBI:17294, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.3.1.36; Evidence={ECO:0000250|UniProtKB:W8JWW7}; PhysiologicalDirection=right-to-left; Xref=Rhea:RHEA:11378; Evidence={ECO:0000250|UniProtKB:W8JWW7};"
P0DXJ2,"CATALYTIC ACTIVITY: Reaction=(19E)-geissoschizine + reduced [NADPH--hemoprotein reductase] + O2 = polyneuridine aldehyde + oxidized [NADPH--hemoprotein reductase] + 2 H2O + H(+); Xref=Rhea:RHEA:58124, Rhea:RHEA-COMP:11964, Rhea:RHEA-COMP:11965, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:16829, ChEBI:CHEBI:17037, ChEBI:CHEBI:57618, ChEBI:CHEBI:58210; Evidence={ECO:0000250|UniProtKB:P0DO13}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:58125; Evidence={ECO:0000250|UniProtKB:P0DO13}; CATALYTIC ACTIVITY: Reaction=tetrahydroalstonine + A + reduced [NADPH--hemoprotein reductase] + O2 = alstonine + AH2 + oxidized [NADPH--hemoprotein reductase] + 2 H2O + H(+); Xref=Rhea:RHEA:58128, Rhea:RHEA-COMP:11964, Rhea:RHEA-COMP:11965, ChEBI:CHEBI:13193, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17499, ChEBI:CHEBI:57618, ChEBI:CHEBI:58210, ChEBI:CHEBI:142526, ChEBI:CHEBI:142530; Evidence={ECO:0000250|UniProtKB:P0DO13}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:58129; Evidence={ECO:0000250|UniProtKB:P0DO13}; CATALYTIC ACTIVITY: Reaction=ajmalicine + A + reduced [NADPH--hemoprotein reductase] + O2 = serpentine + AH2 + oxidized [NADPH--hemoprotein reductase] + 2 H2O + H(+); Xref=Rhea:RHEA:58132, Rhea:RHEA-COMP:11964, Rhea:RHEA-COMP:11965, ChEBI:CHEBI:13193, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17499, ChEBI:CHEBI:57618, ChEBI:CHEBI:58210, ChEBI:CHEBI:142527, ChEBI:CHEBI:142531; Evidence={ECO:0000250|UniProtKB:P0DO13}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:58133; Evidence={ECO:0000250|UniProtKB:P0DO13};"
P0DXJ3,"CATALYTIC ACTIVITY: Reaction=(2R)-1,2-dihydrovomilenine + NADP(+) = vomilenine + NADPH + H(+); Xref=Rhea:RHEA:16409, ChEBI:CHEBI:15378, ChEBI:CHEBI:16408, ChEBI:CHEBI:17372, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.32; Evidence={ECO:0000269|PubMed:11937349, ECO:0000269|PubMed:38212296}; PhysiologicalDirection=right-to-left; Xref=Rhea:RHEA:16411; Evidence={ECO:0000269|PubMed:11937349, ECO:0000269|PubMed:38212296};"
P0DXJ4,"CATALYTIC ACTIVITY: Reaction=17-O-acetylnorajmaline + H2O = norajmaline + acetate + H(+); Xref=Rhea:RHEA:23796, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:30089, ChEBI:CHEBI:77618, ChEBI:CHEBI:77725; EC=3.1.1.80; Evidence={ECO:0000269|PubMed:38212296}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:23797; Evidence={ECO:0000269|PubMed:38212296}; CATALYTIC ACTIVITY: Reaction=17-O-acetylajmaline + H2O = ajmaline + acetate + H(+); Xref=Rhea:RHEA:22124, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:30089, ChEBI:CHEBI:58567, ChEBI:CHEBI:58679; EC=3.1.1.80; Evidence={ECO:0000250|UniProtKB:Q3MKY2}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:22125; Evidence={ECO:0000250|UniProtKB:Q3MKY2};"
