Entry,Gene Ontology (molecular function)
Q5JHC6,18S rRNA cytidine N-acetyltransferase activity [GO:1990883]; ATP binding [GO:0005524]; mRNA N-acetyltransferase activity [GO:0106162]; rRNA binding [GO:0019843]; tRNA binding [GO:0000049]; tRNA N4-acetyltransferase activity [GO:0051392]
Q5JJG6,large ribosomal subunit rRNA binding [GO:0070180]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
Q5KIM6,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; RNA binding [GO:0003723]; translation elongation factor activity [GO:0003746]
Q5KPK7,aspartate-semialdehyde dehydrogenase activity [GO:0004073]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; protein dimerization activity [GO:0046983]
Q5SC47,metal ion binding [GO:0046872]
Q5SC49,RNA binding [GO:0003723]; structural molecule activity [GO:0005198]
Q5SC50,ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; mRNA 5'-cap (guanine-N7-)-methyltransferase activity [GO:0004482]; RNA-directed RNA polymerase activity [GO:0003968]
Q5SC51,exo-alpha-sialidase activity [GO:0004308]; host cell surface receptor binding [GO:0046789]
Q5SC54,structural constituent of virion [GO:0039660]
Q5TVM9,5'-nucleotidase activity [GO:0008253]; apyrase activity [GO:0004050]; enzyme activator activity [GO:0008047]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; toxin activity [GO:0090729]
Q5U117,flavin adenine dinucleotide binding [GO:0050660]; medium-chain fatty acyl-CoA dehydrogenase activity [GO:0070991]
Q6J4Q1,nutrient reservoir activity [GO:0045735]
Q6M0N8,aspartic-type endopeptidase activity [GO:0004190]
Q6NP91,calcium-activated cation channel activity [GO:0005227]; mechanosensitive monoatomic cation channel activity [GO:0140135]; mechanosensitive monoatomic ion channel activity [GO:0008381]
Q6UXT6,G protein-coupled receptor activity [GO:0004930]; olfactory receptor activity [GO:0004984]
Q6XEC0,beta-lactamase activity [GO:0008800]; penicillin binding [GO:0008658]
Q6YF31,structural constituent of cell wall [GO:0005199]
Q6YF32,structural constituent of cell wall [GO:0005199]
Q6ZI01,calmodulin binding [GO:0005516]; protein-folding chaperone binding [GO:0051087]
Q70KH3,methyltransferase activity [GO:0008168]
Q70KH6,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
Q75T84,structural constituent of cell wall [GO:0005199]
Q7DDD9,DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]
Q7K6A5,ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; metal ion binding [GO:0046872]
Q7TQN4,"actinin binding [GO:0042805]; ankyrin repeat binding [GO:0071532]; chromatin binding [GO:0003682]; chromatin DNA binding [GO:0031490]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription factor binding [GO:0140297]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; double-stranded DNA binding [GO:0003690]; enzyme binding [GO:0019899]; general transcription initiation factor binding [GO:0140296]; histone deacetylase binding [GO:0042826]; identical protein binding [GO:0042802]; NF-kappaB binding [GO:0051059]; peptide binding [GO:0042277]; phosphate ion binding [GO:0042301]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; protein-containing complex binding [GO:0044877]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]; transcription cis-regulatory region binding [GO:0000976]; transcription coactivator binding [GO:0001223]; ubiquitin protein ligase binding [GO:0031625]"
Q83XP3,"4 iron, 4 sulfur cluster binding [GO:0051539]; cobalamin binding [GO:0031419]; metal ion binding [GO:0046872]; methyltransferase activity [GO:0008168]"
Q83YH3,metal ion binding [GO:0046872]; monooxygenase activity [GO:0004497]
Q88NV1,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; helicase activity [GO:0004386]
Q8CWM9,3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]
Q8H305,"acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; tetraketide alpha-pyrone synthase activity [GO:0090439]"
Q8I397,ferrous iron transmembrane transporter activity [GO:0015093]
Q8I3M7,cadmium ion transmembrane transporter activity [GO:0015086]; manganese ion transmembrane transporter activity [GO:0005384]
Q8I4Z1,calcium-dependent phospholipid binding [GO:0005544]
Q8IBB7,folic acid transmembrane transporter activity [GO:0008517]
Q8IBI5,cystathionine gamma-lyase activity [GO:0004123]; cysteine desulfurase activity [GO:0031071]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]
Q8IDH9,ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]
Q8IEK7,cysteine desulfurase activity [GO:0031071]
Q8IIK1,folic acid transmembrane transporter activity [GO:0008517]
Q8IIR7,calcium ion binding [GO:0005509]
Q8IJI1,zinc ion transmembrane transporter activity [GO:0005385]
Q8IJS6,heme oxygenase (decyclizing) activity [GO:0004392]
Q8IKT4,"2 iron, 2 sulfur cluster binding [GO:0051537]; ferrous iron binding [GO:0008198]; iron ion binding [GO:0005506]"
Q8IP99,transcription coactivator activity [GO:0003713]
Q8IPA1,transcription coactivator activity [GO:0003713]
Q8IPZ3,NADPH dehydrogenase (quinone) activity [GO:0008753]; oxidoreductase activity [GO:0016491]
Q8IQA2,mRNA binding [GO:0003729]; RNA binding [GO:0003723]
Q8KN66,isomerase activity [GO:0016853]; nucleotide binding [GO:0000166]
Q8LDU1,heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]; protein homodimerization activity [GO:0042803]
Q8MVC4,serine-type endopeptidase inhibitor activity [GO:0004867]
Q8QV65,exo-alpha-sialidase activity [GO:0004308]; host cell surface receptor binding [GO:0046789]
Q8QV69,metal ion binding [GO:0046872]
Q8U0V2,"4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]"
Q8U3G4,18S rRNA cytidine N-acetyltransferase activity [GO:1990883]; ATP binding [GO:0005524]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]; mRNA N-acetyltransferase activity [GO:0106162]; rRNA binding [GO:0019843]; tRNA binding [GO:0000049]; tRNA N4-acetyltransferase activity [GO:0051392]
Q8X1N0,structural constituent of cell wall [GO:0005199]
Q8X1T7,structural constituent of cell wall [GO:0005199]
Q8X1T8,structural constituent of cell wall [GO:0005199]
Q8X1T9,structural constituent of cell wall [GO:0005199]
Q8XAN6,ubiquitin-protein transferase activity [GO:0004842]
Q8ZL97,DNA binding [GO:0003677]
Q8ZL98,"acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; tRNA binding [GO:0000049]"
Q90YL6,DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; nuclear receptor activity [GO:0004879]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]
Q92ZP7,FMN binding [GO:0010181]; riboflavin reductase (NADPH) activity [GO:0042602]
Q92ZP8,"2 iron, 2 sulfur cluster binding [GO:0051537]; oxidoreductase activity [GO:0016491]"
Q92ZP9,"2 iron, 2 sulfur cluster binding [GO:0051537]; dioxygenase activity [GO:0051213]; iron ion binding [GO:0005506]"
Q95P65,5'-nucleotidase activity [GO:0008253]; apyrase activity [GO:0004050]; integrin binding [GO:0005178]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; nucleotide binding [GO:0000166]; toxin activity [GO:0090729]
Q97U12,18S rRNA cytidine N-acetyltransferase activity [GO:1990883]; ATP binding [GO:0005524]; mRNA N-acetyltransferase activity [GO:0106162]; rRNA binding [GO:0019843]; tRNA binding [GO:0000049]; tRNA N4-acetyltransferase activity [GO:0051392]
Q97ZJ8,"DNA binding [GO:0003677]; DNA topoisomerase type I (single strand cut, ATP-independent) activity [GO:0003917]; metal ion binding [GO:0046872]"
Q980C5,18S rRNA cytidine N-acetyltransferase activity [GO:1990883]; ATP binding [GO:0005524]; mRNA N-acetyltransferase activity [GO:0106162]; rRNA binding [GO:0019843]; tRNA binding [GO:0000049]; tRNA N4-acetyltransferase activity [GO:0051392]
Q98500,polynucleotide 5'-phosphatase activity [GO:0004651]
Q99YA0,metal ion binding [GO:0046872]
Q9AYZ3,metal ion binding [GO:0046872]
Q9BIM7,calcium ion binding [GO:0005509]
Q9CZP3,zinc ion binding [GO:0008270]
Q9DQA5,RNA binding [GO:0003723]; structural molecule activity [GO:0005198]
Q9FD33,ammonia-lyase activity [GO:0016841]
Q9FD36,oxidoreductase activity [GO:0016491]
Q9GTP4,nucleoside transmembrane transporter activity [GO:0005337]
Q9GTP5,nucleoside transmembrane transporter activity [GO:0005337]
Q9HDD5,structural constituent of cell wall [GO:0005199]
Q9HUT5,DNA-binding transcription activator activity [GO:0001216]; DNA-binding transcription factor activity [GO:0003700]; nucleotide binding [GO:0000166]; transcription cis-regulatory region binding [GO:0000976]
Q9J4L4,structural constituent of virion [GO:0039660]
Q9JN36,carboxypeptidase activity [GO:0004180]; metal ion binding [GO:0046872]
Q9JXC6,metal ion binding [GO:0046872]
Q9K163,metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]
Q9KJT3,metal ion binding [GO:0046872]; phosphoprotein phosphatase activity [GO:0004721]; phosphorelay sensor kinase activity [GO:0000155]
Q9KJT4,phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976]
Q9KN86,metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; peptidoglycan binding [GO:0042834]
Q9KU93,metalloendopeptidase activity [GO:0004222]
Q9KUL5,metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; peptidoglycan binding [GO:0042834]
Q9KZP3,cardiolipin synthase (CMP-forming) [GO:0043337]; CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity [GO:0008444]
Q9L391,lyase activity [GO:0016829]; oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177]
Q9L392,metal ion binding [GO:0046872]; phosphoglycolate phosphatase activity [GO:0008967]
Q9L393,"hydrolase activity, acting on glycosyl bonds [GO:0016798]; metal ion binding [GO:0046872]; pseudouridylate synthase activity [GO:0004730]"
Q9MCT1,endonuclease activity [GO:0004519]
Q9NBV4,nucleoside transmembrane transporter activity [GO:0005337]
Q9P8S9,structural constituent of cell wall [GO:0005199]
Q9P8T0,structural constituent of cell wall [GO:0005199]
Q9RHD7,"NAD binding [GO:0051287]; oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor [GO:0016628]; UDP-glucose 6-dehydrogenase activity [GO:0003979]"
Q9UVF9,"endo-1,4-beta-xylanase activity [GO:0031176]"
Q9VBV8,"alpha-1,2-mannosyltransferase activity [GO:0000026]; dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity [GO:0052926]; dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity [GO:0052918]"
Q9VC03,ATP binding [GO:0005524]; nicotinamide-nucleotide adenylyltransferase activity [GO:0000309]; nicotinate-nucleotide adenylyltransferase activity [GO:0004515]; unfolded protein binding [GO:0051082]
Q9VGE2,protein heterodimerization activity [GO:0046982]; transcription coactivator activity [GO:0003713]
Q9VGV8,protein folding chaperone [GO:0044183]
Q9VHC5,chromatin DNA binding [GO:0031490]; histone H3K9 demethylase activity [GO:0032454]; histone H3K9me/H3K9me2 demethylase activity [GO:0140683]; transcription coregulator activity [GO:0003712]
Q9VHK6,"2 iron, 2 sulfur cluster binding [GO:0051537]; ferrous iron binding [GO:0008198]; iron-sulfur cluster chaperone activity [GO:0140132]"
Q9VJ10,oxidoreductase activity [GO:0016491]
Q9VJ31,betaine-homocysteine S-methyltransferase activity [GO:0047150]; S-adenosylmethionine-homocysteine S-methyltransferase activity [GO:0008898]; S-methylmethionine-homocysteine S-methyltransferase activity [GO:0061627]; zinc ion binding [GO:0008270]
Q9VJ90,ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
Q9VJG4,enzyme inhibitor activity [GO:0004857]
Q9VPT4,protein heterodimerization activity [GO:0046982]; RNA polymerase II general transcription initiation factor activity [GO:0016251]; transcription coactivator activity [GO:0003713]
Q9VT00,2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; DNA binding [GO:0003677]; protein-containing complex binding [GO:0044877]
Q9VU77,2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; endopeptidase activity [GO:0004175]; ferrous iron binding [GO:0008198]; identical protein binding [GO:0042802]; peptidyl-lysine 3-dioxygenase activity [GO:0106155]
Q9VU86,transcription coregulator activity [GO:0003712]
Q9VX12,protein heterodimerization activity [GO:0046982]; transcription coactivator activity [GO:0003713]
Q9W0M3,chromatin binding [GO:0003682]; histone H3K36 demethylase activity [GO:0051864]; histone H3K36me/H3K36me2 demethylase activity [GO:0140680]; metal ion binding [GO:0046872]; peptidyl-arginine 3-dioxygenase activity [GO:0106157]
Q9W2I4,methylated histone binding [GO:0035064]
Q9W2W5,ADP-ribosylarginine hydrolase activity [GO:0003875]
Q9W3Y1,ATP binding [GO:0005524]; histone kinase activity [GO:0035173]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]
Q9W4J9,ADP-ribosylarginine hydrolase activity [GO:0003875]
Q9WAF5,exo-alpha-sialidase activity [GO:0004308]; host cell surface receptor binding [GO:0046789]
Q9Y7G9,structural constituent of cell wall [GO:0005199]
Q9Y7H0,structural constituent of cell wall [GO:0005199]
Q9Y8F0,structural constituent of cell wall [GO:0005199]
Q9Z0L6,hormone activity [GO:0005179]; peptide hormone receptor binding [GO:0051428]; type 1 parathyroid hormone receptor binding [GO:0031857]
Q9ZIH2,metal ion transmembrane transporter activity [GO:0046873]
Q9ZPL5,cystathionine gamma-synthase activity [GO:0003962]; pyridoxal phosphate binding [GO:0030170]
R4H5E1,sodium channel inhibitor activity [GO:0019871]; toxin activity [GO:0090729]
S8EUF0,ATP binding [GO:0005524]; MAP kinase activity [GO:0004707]
S8EXU2,ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
S8G033,dioxygenase activity [GO:0051213]; metal ion binding [GO:0046872]
S8GI44,ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
U5T7E4,serine-type endopeptidase inhibitor activity [GO:0004867]
V5H924,cysteine-type endopeptidase inhibitor activity [GO:0004869]
V9LFM0,calcium ion binding [GO:0005509]
V9TNS0,"xylan 1,4-beta-xylosidase activity [GO:0009044]"
V9TS54,"endo-1,4-beta-xylanase activity [GO:0031176]"
V9TT49,"xylan 1,4-beta-xylosidase activity [GO:0009044]"
W1QET1,adenylyltransferase activity [GO:0070566]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; thiosulfate-cyanide sulfurtransferase activity [GO:0004792]; URM1 activating enzyme activity [GO:0042292]
X0JZ91,metal ion binding [GO:0046872]
